FID;gid;wpl_id;gem_id;prov_id;pc6;woonplaats;wplnaam_un;gemeente;provincie;vlakken
12935;440898;1070;0014;20;9713JH;Groningen;Groningen;Groningen;Groningen;1
12936;440899;1070;0014;20;9713JJ;Groningen;Groningen;Groningen;Groningen;2
12937;440900;1070;0014;20;9713JK;Groningen;Groningen;Groningen;Groningen;2
12938;440901;1070;0014;20;9713JL;Groningen;Groningen;Groningen;Groningen;2
12939;440904;1070;0014;20;9713JP;Groningen;Groningen;Groningen;Groningen;1
12940;440905;1070;0014;20;9713JR;Groningen;Groningen;Groningen;Groningen;1
12941;440906;1070;0014;20;9713JS;Groningen;Groningen;Groningen;Groningen;1
12942;440907;1070;0014;20;9713JT;Groningen;Groningen;Groningen;Groningen;1
12943;440908;1070;0014;20;9713JV;Groningen;Groningen;Groningen;Groningen;1
12944;440909;1070;0014;20;9713JW;Groningen;Groningen;Groningen;Groningen;1
12945;440910;1070;0014;20;9713JX;Groningen;Groningen;Groningen;Groningen;1
12946;440911;1070;0014;20;9713KA;Groningen;Groningen;Groningen;Groningen;1
12947;440912;1070;0014;20;9713KB;Groningen;Groningen;Groningen;Groningen;1
12948;440913;1070;0014;20;9713KC;Groningen;Groningen;Groningen;Groningen;1
12949;440914;1070;0014;20;9713KD;Groningen;Groningen;Groningen;Groningen;1
12950;440915;1070;0014;20;9713KE;Groningen;Groningen;Groningen;Groningen;1
12951;440916;1070;0014;20;9713KG;Groningen;Groningen;Groningen;Groningen;1
12952;440923;1070;0014;20;9713KP;Groningen;Groningen;Groningen;Groningen;1
12953;440924;1070;0014;20;9713KR;Groningen;Groningen;Groningen;Groningen;1
12954;440925;1070;0014;20;9713KS;Groningen;Groningen;Groningen;Groningen;2
12955;440926;1070;0014;20;9713KT;Groningen;Groningen;Groningen;Groningen;1
12956;440927;1070;0014;20;9713KV;Groningen;Groningen;Groningen;Groningen;1
12957;440928;1070;0014;20;9713KW;Groningen;Groningen;Groningen;Groningen;1
12958;440929;1070;0014;20;9713KX;Groningen;Groningen;Groningen;Groningen;1
12959;440930;1070;0014;20;9713KZ;Groningen;Groningen;Groningen;Groningen;1
12960;440931;1070;0014;20;9713LA;Groningen;Groningen;Groningen;Groningen;1
12961;440932;1070;0014;20;9713LB;Groningen;Groningen;Groningen;Groningen;3
12962;440933;1070;0014;20;9713LC;Groningen;Groningen;Groningen;Groningen;1
12963;440934;1070;0014;20;9713LD;Groningen;Groningen;Groningen;Groningen;1
12964;440935;1070;0014;20;9713LE;Groningen;Groningen;Groningen;Groningen;1
12966;440936;1070;0014;20;9713LG;Groningen;Groningen;Groningen;Groningen;1
12967;440937;1070;0014;20;9713LH;Groningen;Groningen;Groningen;Groningen;1
12968;440938;1070;0014;20;9713LJ;Groningen;Groningen;Groningen;Groningen;1
